IdOrganizacao;IdParticipante;IdCfop;IdModelo;IdSituacao;DataDoMovimento;TotalDoDocumentoFiscal;Operacao;Emissao;CstICMS;AliquotaIcms;TipoDoFrete;SufixoDoCFOP;NumeroSatEcf;QuantidadeDeDocumentos;TotalDoItem;ValorDesconto;ValorIcms;ValorIpi;ValorPis;ValorCofins;ValorIcmsSt;ValorPisSt;ValorCofinsSt;BaseDeCalculoIcms;BaseDeCalculoIcmsSt;ValorDaReducaoDaBaseDeCalculo;ValorFrete;ValorSeguro;ValorOutrasDespesasAcessorias
Saida;CONSUMIDORFINAL3136702;5405;;;17012018;6.837,9;Saida;Propria;60;0;Sem cobranca de frete;X.405;36;1;2.697,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5102;;;18012018;7.511,3;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;36;1;4.282,8;0;359,76;0;0;0;0;0;0;4.282,8;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;;;;18012018;7.511,3;Saida;Propria;;0;Sem cobranca de frete;;36;1;216,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5405;;;18012018;7.511,3;Saida;Propria;60;0;Sem cobranca de frete;X.405;36;1;3.012,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5102;;;19012018;7.367,2;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;36;1;4.063,5;0;341,33;0;0;0;0;0;0;4.063,5;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;;;;19012018;7.367,2;Saida;Propria;;0;Sem cobranca de frete;;36;1;183;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5405;;;19012018;7.367,2;Saida;Propria;60;0;Sem cobranca de frete;X.405;36;1;3.120,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5102;;;20012018;11.236,9;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;36;1;6.619,3;0;556,02;0;0;0;0;0;0;6.619,3;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;;;;20012018;11.236,9;Saida;Propria;;0;Sem cobranca de frete;;36;1;250,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5405;;;20012018;11.236,9;Saida;Propria;60;0;Sem cobranca de frete;X.405;36;1;4.366,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5102;;;21012018;13.017,4;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;36;1;7.633,5;0;641,21;0;0;0;0;0;0;7.633,5;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;;;;21012018;13.017,4;Saida;Propria;;0;Sem cobranca de frete;;36;1;310,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5405;;;21012018;13.017,4;Saida;Propria;60;0;Sem cobranca de frete;X.405;36;1;5.073,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5102;;;22012018;6.337,1;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;36;1;3.687,6;0;309,76;0;0;0;0;0;0;3.687,6;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;;;;22012018;6.337,1;Saida;Propria;;0;Sem cobranca de frete;;36;1;119,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5405;;;22012018;6.337,1;Saida;Propria;60;0;Sem cobranca de frete;X.405;36;1;2.530,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5102;;;23012018;6.591,8;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;36;1;3.859,6;0;324,21;0;0;0;0;0;0;3.859,6;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;;;;23012018;6.591,8;Saida;Propria;;0;Sem cobranca de frete;;36;1;215,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5405;;;23012018;6.591,8;Saida;Propria;60;0;Sem cobranca de frete;X.405;36;1;2.516,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5102;;;24012018;5.964,6;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;36;1;3.733,2;0;313,59;0;0;0;0;0;0;3.733,2;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;;;;24012018;5.964,6;Saida;Propria;;0;Sem cobranca de frete;;36;1;66,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5405;;;24012018;5.964,6;Saida;Propria;60;0;Sem cobranca de frete;X.405;36;1;2.164,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5102;;;25012018;7.254;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;36;1;4.273,4;0;358,97;0;0;0;0;0;0;4.273,4;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;;;;25012018;7.254;Saida;Propria;;0;Sem cobranca de frete;;36;1;104,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5405;;;25012018;7.254;Saida;Propria;60;0;Sem cobranca de frete;X.405;36;1;2.876,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5102;;;26012018;8.179,2;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;36;1;4.394,6;0;369,15;0;0;0;0;0;0;4.394,6;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;;;;26012018;8.179,2;Saida;Propria;;0;Sem cobranca de frete;;36;1;402,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5405;;;26012018;8.179,2;Saida;Propria;60;0;Sem cobranca de frete;X.405;36;1;3.381,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5102;;;27012018;11.656,8;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;36;1;6.846,4;0;575,1;0;0;0;0;0;0;6.846,4;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;;;;27012018;11.656,8;Saida;Propria;;0;Sem cobranca de frete;;36;1;176,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5405;;;27012018;11.656,8;Saida;Propria;60;0;Sem cobranca de frete;X.405;36;1;4.634,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5102;;;28012018;12.830,7;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;36;1;7.236,2;0;607,84;0;0;0;0;0;0;7.236,2;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;;;;28012018;12.830,7;Saida;Propria;;0;Sem cobranca de frete;;36;1;393,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5405;;;28012018;12.830,7;Saida;Propria;60;0;Sem cobranca de frete;X.405;36;1;5.201,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5102;;;29012018;6.153,3;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;36;1;3.272,3;0;274,87;0;0;0;0;0;0;3.272,3;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;;;;29012018;6.153,3;Saida;Propria;;0;Sem cobranca de frete;;36;1;262,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5405;;;29012018;6.153,3;Saida;Propria;60;0;Sem cobranca de frete;X.405;36;1;2.618,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5102;;;30012018;6.719,7;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;36;1;3.894,4;0;327,13;0;0;0;0;0;0;3.894,4;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;;;;30012018;6.719,7;Saida;Propria;;0;Sem cobranca de frete;;36;1;98,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5405;;;30012018;6.719,7;Saida;Propria;60;0;Sem cobranca de frete;X.405;36;1;2.726,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5102;;;31012018;7.197,6;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;36;1;4.450,3;0;373,83;0;0;0;0;0;0;4.450,3;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;;;;31012018;7.197,6;Saida;Propria;;0;Sem cobranca de frete;;36;1;119,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5405;;;31012018;7.197,6;Saida;Propria;60;0;Sem cobranca de frete;X.405;36;1;2.627,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5102;;;1012018;249;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;25;1;227;0;19,07;0;0;0;0;0;0;227;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;;;;1012018;249;Saida;Propria;;0;Sem cobranca de frete;;25;1;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0
