IdOrganizacao;IdParticipante;IdModelo;DataDoMovimento;TotalDoDocumentoFiscal;Operacao;Emissao;TipoDoFrete;NumeroSatEcf;QuantidadeDeDocumentos;TotalDoItem
42591651055479;CONSUMIDORFINAL3136702;2D;26012018;8179,2;Saida;Propria;Sem cobranca de frete;36;1;3381,7
42591651055479;CONSUMIDORFINAL3136702;2D;27012018;11656,8;Saida;Propria;Sem cobranca de frete;36;1;6846,4
42591651055479;CONSUMIDORFINAL3136702;2D;27012018;11656,8;Saida;Propria;Sem cobranca de frete;36;1;176,3
42591651055479;CONSUMIDORFINAL3136702;2D;27012018;11656,8;Saida;Propria;Sem cobranca de frete;36;1;4634,1
42591651055479;CONSUMIDORFINAL3136702;2D;28012018;12830,7;Saida;Propria;Sem cobranca de frete;36;1;7236,2
42591651055479;CONSUMIDORFINAL3136702;2D;28012018;12830,7;Saida;Propria;Sem cobranca de frete;36;1;393,4
42591651055479;CONSUMIDORFINAL3136702;2D;28012018;12830,7;Saida;Propria;Sem cobranca de frete;36;1;5201,1
42591651055479;CONSUMIDORFINAL3136702;2D;29012018;6153,3;Saida;Propria;Sem cobranca de frete;36;1;3272,3
42591651055479;CONSUMIDORFINAL3136702;2D;29012018;6153,3;Saida;Propria;Sem cobranca de frete;36;1;262,5
42591651055479;CONSUMIDORFINAL3136702;2D;29012018;6153,3;Saida;Propria;Sem cobranca de frete;36;1;2618,5
42591651055479;CONSUMIDORFINAL3136702;2D;30012018;6719,7;Saida;Propria;Sem cobranca de frete;36;1;3894,4
42591651055479;CONSUMIDORFINAL3136702;2D;30012018;6719,7;Saida;Propria;Sem cobranca de frete;36;1;98,8
42591651055479;CONSUMIDORFINAL3136702;2D;30012018;6719,7;Saida;Propria;Sem cobranca de frete;36;1;2726,5
42591651055479;CONSUMIDORFINAL3136702;2D;31012018;7197,6;Saida;Propria;Sem cobranca de frete;36;1;4450,3
42591651055479;CONSUMIDORFINAL3136702;2D;31012018;7197,6;Saida;Propria;Sem cobranca de frete;36;1;119,8
42591651055479;CONSUMIDORFINAL3136702;2D;31012018;7197,6;Saida;Propria;Sem cobranca de frete;36;1;2627,5
42591651055479;CONSUMIDORFINAL3136702;2D;1012018;249;Saida;Propria;Sem cobranca de frete;25;1;227
42591651055479;CONSUMIDORFINAL3136702;2D;1012018;249;Saida;Propria;Sem cobranca de frete;25;1;22
42591651055479;CONSUMIDORFINAL3136702;2D;3012018;27;Saida;Propria;Sem cobranca de frete;25;1;10,5
42591651055479;CONSUMIDORFINAL3136702;2D;3012018;27;Saida;Propria;Sem cobranca de frete;25;1;16,5
42591651055479;CONSUMIDORFINAL3136702;2D;5012018;263;Saida;Propria;Sem cobranca de frete;25;1;250
42591651055479;CONSUMIDORFINAL3136702;2D;5012018;263;Saida;Propria;Sem cobranca de frete;25;1;13
42591651055479;CONSUMIDORFINAL3136702;2D;6012018;62;Saida;Propria;Sem cobranca de frete;25;1;62
42591651055479;CONSUMIDORFINAL3136702;2D;8012018;52;Saida;Propria;Sem cobranca de frete;25;1;43
42591651055479;CONSUMIDORFINAL3136702;2D;8012018;52;Saida;Propria;Sem cobranca de frete;25;1;9
42591651055479;CONSUMIDORFINAL3136702;2D;9012018;59,5;Saida;Propria;Sem cobranca de frete;25;1;59,5
42591651055479;CONSUMIDORFINAL3136702;2D;10012018;7;Saida;Propria;Sem cobranca de frete;25;1;7
42591651055479;CONSUMIDORFINAL3136702;2D;11012018;241;Saida;Propria;Sem cobranca de frete;25;1;211
42591651055479;CONSUMIDORFINAL3136702;2D;11012018;241;Saida;Propria;Sem cobranca de frete;25;1;30
42591651055479;CONSUMIDORFINAL3136702;2D;12012018;420,5;Saida;Propria;Sem cobranca de frete;25;1;414,5
42591651055479;CONSUMIDORFINAL3136702;2D;12012018;420,5;Saida;Propria;Sem cobranca de frete;25;1;6
42591651055479;CONSUMIDORFINAL3136702;2D;13012018;76;Saida;Propria;Sem cobranca de frete;25;1;6
42591651055479;CONSUMIDORFINAL3136702;2D;13012018;76;Saida;Propria;Sem cobranca de frete;25;1;70
42591651055479;CONSUMIDORFINAL3136702;2D;16012018;337,5;Saida;Propria;Sem cobranca de frete;25;1;334,5
42591651055479;CONSUMIDORFINAL3136702;2D;16012018;337,5;Saida;Propria;Sem cobranca de frete;25;1;3
42591651055479;CONSUMIDORFINAL3136702;2D;17012018;112,5;Saida;Propria;Sem cobranca de frete;25;1;91,5
42591651055479;CONSUMIDORFINAL3136702;2D;17012018;112,5;Saida;Propria;Sem cobranca de frete;25;1;21
42591651055479;CONSUMIDORFINAL3136702;2D;18012018;20,5;Saida;Propria;Sem cobranca de frete;25;1;20,5
42591651055479;CONSUMIDORFINAL3136702;2D;19012018;258;Saida;Propria;Sem cobranca de frete;25;1;214,5
42591651055479;CONSUMIDORFINAL3136702;2D;19012018;258;Saida;Propria;Sem cobranca de frete;25;1;33,5
42591651055479;CONSUMIDORFINAL3136702;2D;19012018;258;Saida;Propria;Sem cobranca de frete;25;1;10
42591651055479;CONSUMIDORFINAL3136702;2D;20012018;72,5;Saida;Propria;Sem cobranca de frete;25;1;53
42591651055479;CONSUMIDORFINAL3136702;2D;20012018;72,5;Saida;Propria;Sem cobranca de frete;25;1;19,5
42591651055479;CONSUMIDORFINAL3136702;2D;21012018;104;Saida;Propria;Sem cobranca de frete;25;1;104
42591651055479;CONSUMIDORFINAL3136702;2D;22012018;222,5;Saida;Propria;Sem cobranca de frete;25;1;209
42591651055479;CONSUMIDORFINAL3136702;2D;22012018;222,5;Saida;Propria;Sem cobranca de frete;25;1;13,5
