organizaca;participante;dataMovimentoC420;dataMovimentoC490;valorTotalNFeC420;valorTotalNFeC490;operacao;emissao;modFrete;satECF;quantidade;valorTotalC420;valorTotalC490;cstICMS;CFOP;sufixoCFOP;aliquotaICMS;baseICMS;valorICMS
42591651055479;CONSUMIDORFINAL3136702;14012018;14012018;13.714,1;13.714,1;Saida;Propria;Sem cobranca de frete;36;1.0;5.643,9;5.643,9;60;5405;X.405;0.0;0.00;0
42591651055479;CONSUMIDORFINAL3136702;15012018;15012018;7.705,4;7.705,4;Saida;Propria;Sem cobranca de frete;36;1.0;4.131,9;4.131,9;0;5102;X.102;8.4;4131.90;347,08
42591651055479;CONSUMIDORFINAL3136702;15012018;;7.705,4;0;Saida;Propria;Sem cobranca de frete;36;1.0;248,7;0;;;;0.0;0;0
42591651055479;CONSUMIDORFINAL3136702;15012018;15012018;7.705,4;7.705,4;Saida;Propria;Sem cobranca de frete;36;1.0;3.324,8;3.324,8;60;5405;X.405;0.0;0.00;0
42591651055479;CONSUMIDORFINAL3136702;16012018;16012018;7.140,4;7.140,4;Saida;Propria;Sem cobranca de frete;36;1.0;4.178,7;4.178,7;0;5102;X.102;8.4;4178.70;351,01
42591651055479;CONSUMIDORFINAL3136702;16012018;;7.140,4;0;Saida;Propria;Sem cobranca de frete;36;1.0;115,7;0;;;;0.0;0;0
42591651055479;CONSUMIDORFINAL3136702;16012018;16012018;7.140,4;7.140,4;Saida;Propria;Sem cobranca de frete;36;1.0;2.846;2.846;60;5405;X.405;0.0;0.00;0
42591651055479;CONSUMIDORFINAL3136702;17012018;17012018;6.837,9;6.837,9;Saida;Propria;Sem cobranca de frete;36;1.0;3.940,8;3.940,8;0;5102;X.102;8.4;3940.80;331,03
42591651055479;CONSUMIDORFINAL3136702;17012018;;6.837,9;0;Saida;Propria;Sem cobranca de frete;36;1.0;199,4;0;;;;0.0;0;0
42591651055479;CONSUMIDORFINAL3136702;17012018;17012018;6.837,9;6.837,9;Saida;Propria;Sem cobranca de frete;36;1.0;2.697,7;2.697,7;60;5405;X.405;0.0;0.00;0
42591651055479;CONSUMIDORFINAL3136702;18012018;18012018;7.511,3;7.511,3;Saida;Propria;Sem cobranca de frete;36;1.0;4.282,8;4.282,8;0;5102;X.102;8.4;4282.80;359,76
42591651055479;CONSUMIDORFINAL3136702;18012018;;7.511,3;0;Saida;Propria;Sem cobranca de frete;36;1.0;216,1;0;;;;0.0;0;0
42591651055479;CONSUMIDORFINAL3136702;18012018;18012018;7.511,3;7.511,3;Saida;Propria;Sem cobranca de frete;36;1.0;3.012,4;3.012,4;60;5405;X.405;0.0;0.00;0
