IdOrganizacao;IdParticipante;IdCfop;IdModelo;DataDoMovimento;TotalDoDocumentoFiscal;Operacao;Emissao;CstICMS;AliquotaIcms;TipoDoFrete;SufixoDoCFOP;NumeroSatEcf;QuantidadeDeDocumentos;TotalDoItem;ValorIcms;BaseDeCalculoIcms
42591651055479;CONSUMIDORFINAL3136702;5405;2D;6012018;3946,1;Saida;Propria;60;0;Sem cobranca de frete;X.405;34;1;1881;0;0
42591651055479;CONSUMIDORFINAL3136702;5405;2D;7012018;6997,5;Saida;Propria;60;0;Sem cobranca de frete;X.405;34;1;3660,4;0;0
42591651055479;CONSUMIDORFINAL3136702;5102;2D;7012018;6997,5;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;34;1;3188,1;267,8;3188,1
42591651055479;CONSUMIDORFINAL3136702;5405;2D;10012018;2503,4;Saida;Propria;60;0;Sem cobranca de frete;X.405;34;1;969,7;0;0
42591651055479;CONSUMIDORFINAL3136702;5102;2D;10012018;2503,4;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;34;1;1247,6;104,8;1247,6
42591651055479;CONSUMIDORFINAL3136702;5405;2D;11012018;2205,5;Saida;Propria;60;0;Sem cobranca de frete;X.405;34;1;943,5;0;0
42591651055479;CONSUMIDORFINAL3136702;5102;2D;11012018;2205,5;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;34;1;1208,1;101,48;1208,1
42591651055479;CONSUMIDORFINAL3136702;5405;2D;12012018;2188,6;Saida;Propria;60;0;Sem cobranca de frete;X.405;34;1;1171;0;0
42591651055479;CONSUMIDORFINAL3136702;5102;2D;12012018;2188,6;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;34;1;913,8;76,76;913,8
42591651055479;CONSUMIDORFINAL3136702;5405;2D;13012018;2986,1;Saida;Propria;60;0;Sem cobranca de frete;X.405;34;1;1237,2;0;0
42591651055479;CONSUMIDORFINAL3136702;5102;2D;13012018;2986,1;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;34;1;1575,1;132,31;1575,1
42591651055479;CONSUMIDORFINAL3136702;5102;2D;14012018;3081,3;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;34;1;1751,2;147,1;1751,2
42591651055479;CONSUMIDORFINAL3136702;5405;2D;14012018;3081,3;Saida;Propria;60;0;Sem cobranca de frete;X.405;34;1;1273,1;0;0
42591651055479;CONSUMIDORFINAL3136702;5405;2D;15012018;2526,6;Saida;Propria;60;0;Sem cobranca de frete;X.405;34;1;1204,9;0;0
42591651055479;CONSUMIDORFINAL3136702;5102;2D;15012018;2526,6;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;34;1;1226,7;103,04;1226,7
42591651055479;CONSUMIDORFINAL3136702;5102;2D;17012018;222,3;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;34;1;136,8;11,49;136,8
